,Unnamed: 0,u_id,a_id,profile,title,score
314,689,0,877,DesolatePsyche,Nana,7
315,690,33,877,BowlingJD,Nana,9
317,693,280,877,BanjoTheBear,Nana,9
319,695,462,877,Flawfinder,Nana,7
321,697,523,877,kajia,Nana,9
326,705,651,877,Master10K,Nana,9
328,707,678,877,jet2r0cks,Nana,9
329,708,736,877,mrsKWON,Nana,8
334,713,966,877,Gonzo-lewd,Nana,8
356,737,4808,877,mistah-manila,Nana,10
415,917,0,19,DesolatePsyche,Monster,8
416,918,33,19,BowlingJD,Monster,10
417,919,34,19,gwern,Monster,9
420,922,76,19,Lindle,Monster,10
421,923,109,19,ktulu007,Monster,9
426,928,523,19,kajia,Monster,10
427,929,524,19,Ranivus,Monster,9
430,932,651,19,Master10K,Monster,9
432,934,736,19,mrsKWON,Monster,9
434,936,901,19,literaturenerd,Monster,10
443,946,1309,19,Lord_Rutsah,Monster,7
457,962,3514,19,ChucriBZ,Monster,9
2359,4708,0,32542,DesolatePsyche,Sakamoto Desu ga?,7
2361,4710,77,32542,ZephSilver,Sakamoto Desu ga?,7
2362,4711,97,32542,LegendAqua,Sakamoto Desu ga?,9
2363,4712,280,32542,BanjoTheBear,Sakamoto Desu ga?,5
2364,4713,332,32542,ShySorcerer,Sakamoto Desu ga?,6
2366,4715,480,32542,TrashDax,Sakamoto Desu ga?,8
2372,4721,1296,32542,Zaku88,Sakamoto Desu ga?,6
2380,4730,1888,32542,Yasaal,Sakamoto Desu ga?,8
2383,4733,2368,32542,hexashadow13,Sakamoto Desu ga?,7
2395,4746,5395,32542,wolfwing,Sakamoto Desu ga?,10
3561,6895,0,27631,DesolatePsyche,God Eater,9
3562,6896,50,27631,BabyGirl06301,God Eater,8
3563,6897,97,27631,LegendAqua,God Eater,9
3564,6898,280,27631,BanjoTheBear,God Eater,3
3565,6899,337,27631,Injenss,God Eater,4
3566,6900,456,27631,Stark700,God Eater,5
3570,6905,1077,27631,CodeBlazeFate,God Eater,6
3572,6907,1158,27631,Rikuson1,God Eater,7
3573,6908,1296,27631,Zaku88,God Eater,8
3576,6911,1762,27631,camay1997,God Eater,6
3578,6913,3413,27631,lawlmartz,God Eater,3
4001,7738,31,35507,ggultra2764,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),7
4002,7739,97,35507,LegendAqua,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),8
4006,7743,456,35507,Stark700,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),7
4008,7745,550,35507,Tyrannicswine117,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),7
4012,7751,1593,35507,LaLeLuLiLo,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),3
4015,7754,1888,35507,Yasaal,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),9
4045,7811,2335,35507,xcomprr,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),7
4055,7831,2368,35507,hexashadow13,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),10
4060,7838,2389,35507,nanakox21,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),6
4066,7856,2417,35507,ImRingo,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),7
4081,7884,2478,35507,RebelPanda,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),3
4084,7894,2488,35507,XHellLyterX,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),5
4085,7895,2489,35507,Shingster,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),10
4225,8164,10,853,angelsreview,Ouran Koukou Host Club,8
4227,8166,50,853,BabyGirl06301,Ouran Koukou Host Club,9
4232,8171,258,853,Fear_the_Reefer,Ouran Koukou Host Club,9
4234,8173,387,853,KyasutoNaito,Ouran Koukou Host Club,10
4245,8186,678,853,jet2r0cks,Ouran Koukou Host Club,10
4251,8192,789,853,LeaOotori,Ouran Koukou Host Club,10
4256,8199,1508,853,AnimeBW,Ouran Koukou Host Club,9
4266,8211,2138,853,Agent_Redacted,Ouran Koukou Host Club,10
4279,8227,2762,853,Sidewinder51,Ouran Koukou Host Club,10
4298,8247,4808,853,mistah-manila,Ouran Koukou Host Club,9
5383,10425,104,23289,jc9622,Gekkan Shoujo Nozaki-kun,9
5389,10431,280,23289,BanjoTheBear,Gekkan Shoujo Nozaki-kun,9
5390,10432,285,23289,earl_of_sandvich,Gekkan Shoujo Nozaki-kun,9
5392,10434,456,23289,Stark700,Gekkan Shoujo Nozaki-kun,8
5393,10435,460,23289,PyraXadon,Gekkan Shoujo Nozaki-kun,9
5399,10441,597,23289,Yuni,Gekkan Shoujo Nozaki-kun,8
5401,10443,868,23289,VegetaOver9000,Gekkan Shoujo Nozaki-kun,10
5410,10452,1565,23289,Veronin,Gekkan Shoujo Nozaki-kun,8
5413,10455,1888,23289,Yasaal,Gekkan Shoujo Nozaki-kun,9
5416,10458,2138,23289,Agent_Redacted,Gekkan Shoujo Nozaki-kun,9
5425,10467,3308,23289,Visceras,Gekkan Shoujo Nozaki-kun,7
5426,10469,3415,23289,mercury1980,Gekkan Shoujo Nozaki-kun,10
6937,13513,104,2904,jc9622,Code Geass: Hangyaku no Lelouch R2,8
6938,13514,109,2904,ktulu007,Code Geass: Hangyaku no Lelouch R2,8
6945,13521,480,2904,TrashDax,Code Geass: Hangyaku no Lelouch R2,7
6951,13527,651,2904,Master10K,Code Geass: Hangyaku no Lelouch R2,8
6954,13530,809,2904,FullmetalCowboy,Code Geass: Hangyaku no Lelouch R2,6
6957,13533,868,2904,VegetaOver9000,Code Geass: Hangyaku no Lelouch R2,10
6959,13535,1077,2904,CodeBlazeFate,Code Geass: Hangyaku no Lelouch R2,7
6960,13536,1078,2904,TakamakiJoker,Code Geass: Hangyaku no Lelouch R2,5
6988,13575,3413,2904,lawlmartz,Code Geass: Hangyaku no Lelouch R2,9
6995,13582,3857,2904,KaminaKai,Code Geass: Hangyaku no Lelouch R2,9
7014,13609,4808,2904,mistah-manila,Code Geass: Hangyaku no Lelouch R2,10
7040,13652,6687,2904,Social_Elitist,Code Geass: Hangyaku no Lelouch R2,6
8322,16168,34,12355,gwern,Ookami Kodomo no Ame to Yuki,8
8323,16169,54,12355,Eoussama,Ookami Kodomo no Ame to Yuki,9
8324,16170,61,12355,Paulwillson26,Ookami Kodomo no Ame to Yuki,10
8325,16171,109,12355,ktulu007,Ookami Kodomo no Ame to Yuki,7
8330,16176,456,12355,Stark700,Ookami Kodomo no Ame to Yuki,8
8331,16177,460,12355,PyraXadon,Ookami Kodomo no Ame to Yuki,9
8332,16178,480,12355,TrashDax,Ookami Kodomo no Ame to Yuki,8
8333,16179,503,12355,mouthpiece,Ookami Kodomo no Ame to Yuki,6
8334,16180,550,12355,Tyrannicswine117,Ookami Kodomo no Ame to Yuki,10
8338,16184,901,12355,literaturenerd,Ookami Kodomo no Ame to Yuki,5
8340,16186,1078,12355,TakamakiJoker,Ookami Kodomo no Ame to Yuki,10
8341,16187,1131,12355,Ethan_07,Ookami Kodomo no Ame to Yuki,8
8358,16207,3308,12355,Visceras,Ookami Kodomo no Ame to Yuki,10
8376,16229,6687,12355,Social_Elitist,Ookami Kodomo no Ame to Yuki,7
9330,18348,54,28825,Eoussama,Himouto! Umaru-chan,7
9331,18349,97,28825,LegendAqua,Himouto! Umaru-chan,8
9336,18354,159,28825,KomanoOhta,Himouto! Umaru-chan,7
9337,18355,280,28825,BanjoTheBear,Himouto! Umaru-chan,6
9338,18356,456,28825,Stark700,Himouto! Umaru-chan,8
9339,18357,460,28825,PyraXadon,Himouto! Umaru-chan,7
9341,18359,480,28825,TrashDax,Himouto! Umaru-chan,8
9343,18361,966,28825,Gonzo-lewd,Himouto! Umaru-chan,8
9358,18378,3415,28825,mercury1980,Himouto! Umaru-chan,6
9365,18385,5395,28825,wolfwing,Himouto! Umaru-chan,8
10316,20243,31,6594,ggultra2764,Katanagatari,8
10317,20244,34,6594,gwern,Katanagatari,9
10318,20245,61,6594,Paulwillson26,Katanagatari,9
10319,20246,109,6594,ktulu007,Katanagatari,2
10325,20252,597,6594,Yuni,Katanagatari,9
10326,20253,650,6594,Archaeon,Katanagatari,8
10328,20255,736,6594,mrsKWON,Katanagatari,7
10330,20257,1158,6594,Rikuson1,Katanagatari,7
10335,20263,1784,6594,helur,Katanagatari,8
10338,20267,2368,6594,hexashadow13,Katanagatari,6
10339,20268,2417,6594,ImRingo,Katanagatari,9
11180,21846,10,202,angelsreview,Wolf's Rain,10
11181,21847,33,202,BowlingJD,Wolf's Rain,6
11182,21848,43,202,HybridMedia,Wolf's Rain,9
11184,21850,109,202,ktulu007,Wolf's Rain,9
11185,21851,258,202,Fear_the_Reefer,Wolf's Rain,9
11186,21852,300,202,Biogundam,Wolf's Rain,7
11191,21857,583,202,brynolf,Wolf's Rain,6
